亍: iuel
恁: nfrx
恙: yhyx
恣: zidx
悫: qtux
愆: qmix
愍: mbmx
慝: tekx
憩: qiqx
懋: mcmx
懑: mfdx
戆: vllx
聿: yuvl
沓: tauo
淼: mnuu
矶: jiuj
矸: gjug
砀: dhup
砉: xufu
砗: ieui
砘: dyut
砑: yauy
斫: vouj
砭: bmuf
砜: fgux
砝: faus
砹: aiux
砺: liuw
砻: lslu
砟: vauv
砼: tsug
砥: diud
砬: liul
砣: toub
硎: xkud
硭: mhuw
硖: xxuj
硗: qnuw
硐: dsuk
硇: ncux
硌: louk
硪: wouw
碛: qiur
碓: dvuf
碚: bwuk
碇: dkur
碜: ifup
碡: vzum
碣: yauv
碲: diuj
碹: xrug
碥: bmuc
磔: veum
磙: gyuy
磉: shum
磬: qkuu
磲: quum
礅: dyuw
磴: dgua
礓: jlua
礞: mgun
礴: bouc
龛: kjrl
黹: viyd
黻: fuyd
黼: fuyf
盱: xuoy
眄: mmom
眍: kzox
盹: dyot
眇: mnou
眈: djov
眚: uguo
眢: yrxo
眙: yiok
眭: svot
眦: ziob
眵: iiox
眸: mzon
睐: ldol
睑: jmoa
睇: diop
睃: soow
睚: yaot
睨: nioe
睢: hvof
睥: piou
睿: rvlo
瞍: szoy
睽: kvot
瞀: mcso
瞌: keom
瞑: mkob
瞟: pnox
瞠: igot
瞰: kjow
瞵: lbol
瞽: guuo
町: tktd
畀: bitl
畎: qrtq
畋: tmtw
畈: fjty
畛: vftp
畲: uert
畹: wjtv
疃: trtl
罘: fusb
罡: ghsv
罟: gusk
詈: lisk
罨: yjsd
罴: pish
罱: ljsg
罹: lisf
羁: jism
罾: zgso
盍: hetm
盥: grpm
蠲: jrbi
钆: gajv
钇: yijv
钋: pojb
钊: vcjd
钌: lnjl
钍: tujt
钏: irji
钐: ujjp
钔: mfjm
钗: idji
钕: nvjn
钚: bujb
钛: tdjt
钜: jujj
钣: bjjy
钤: qmjv
钫: fhjf
钪: khjj
钭: dzju
钬: hojh
钯: bajb
钰: yujy
钲: vgjv
钴: gujk
钷: pojk
钹: bojd
钺: ytjv
钼: mujo
钽: tjjd
钿: tmjt
铄: uojl
铈: uijj
铉: xrjy
铊: tajb
铋: bijb
铌: nijb
铍: pijy
铎: dojl
铐: kcjv
铑: lcjb
铒: erje
铕: yzjo
铖: igji
铗: jxjj
铙: ncjw
铘: yeje
铛: igje
铞: dnjj
铟: ybjd
铠: kdjj
铢: vujv
铤: tkjz
铥: dqjs
铧: hxju
铨: qrjw
铪: kejk
铩: uajm
铫: tnjd
铮: vgjl
铯: sejb
铳: isje
铴: thjp
铵: anjn
铷: rujk
铹: lcjl
铼: ldjl
铽: tejx
铿: kgjt
锃: zgjw
锂: lijl
锆: gcjk
锇: eejw
锉: cojt
锊: ltjc
锍: lqjv
锎: kdjk
锏: jmjo
锒: lhjl
锓: qbjy
锔: jujk
锕: aajk
锖: qljo
锘: nojk
锛: bfjc
锝: dejc
锞: kejg
锟: kyjb
锢: gujk
锪: hojx
锫: pwjk
锩: jrjv
锬: tjjh
锱: zijt
锲: qpjd
锴: kdjb
锶: sijx
锷: eejk
锸: iajj
锼: szjy
锾: hrjy
锿: aijy
镂: lzjn
锵: qljc
镄: fwjr
镅: mwjo
镆: mojd
镉: gejl
镌: jrjn
镎: naju
镏: lqjt
镒: yijm
镓: jxju
镔: bbjb
镖: bnjx
镗: thjt
镘: mjjy
镛: ysjl
镞: zuju
镝: dijk
镡: xbju
镢: jtjr
镤: pujn
镥: lujo
镦: dvjw
镧: ljjj
镨: pujo
镩: crji
镪: qlji
镫: dgja
镬: hojy
镯: voji
镱: yijx
镲: iajx
镳: bnjh
锺: vsjv
矧: ufuy
矬: cout
雉: viuf
秕: bihb
秭: zihp
秣: mohm
秫: uuhu
稆: lvhk
嵇: jihe
稃: fuhz
稂: lhhl
稞: kehg
稔: rfhx
稹: vfhb
稷: jihw
穑: sehk
黏: nmhk
馥: fuhw
穰: rhhy
皈: gvby
皎: jnbx
皓: hcbk
皙: ximb
皤: pobt
瓞: dpgu
瓠: hudg
甬: yssy
鸠: jqjn
鸢: yryn
鸨: bcbn
鸩: vfdn
鸪: guun
鸫: dsdn
鸬: luln
鸲: qubn
鸱: iidn
鸶: sivn
鸸: eren
鸷: vifn
鸹: gxqn
鸺: xqrn
鸾: lrwn
鹁: boun
鹂: liln
鹄: hunn
鹆: yubn
鹇: xmmn
鹈: tibn
鹉: wuan
鹋: mncn
鹌: andn
鹎: bwpn
鹑: iywn
鹕: huun
鹗: eekn
鹚: cibn
鹛: mwvn
鹜: wusn
鹞: ycpn
鹣: jmbn
鹦: ykkn
鹧: vegn
鹨: lqxn
鹩: lndn
鹪: jnrn
鹫: jqwn
鹬: yusn
鹱: huny
鹭: luzn
鹳: grcn
疔: dkbd
疖: jpbe
疠: libw
疝: ujbe
疬: libl
疣: yzby
疳: gjbg
疴: kebk
疸: djbd
痄: vabv
疱: pcbs
疰: vubv
痃: xrby
痂: jxbk
痍: yiby
痣: vibx
痨: lcbl
痦: wubk
痤: cobt
痫: xmbm
痧: uabu
瘃: vubn
痱: fwbf
痼: gubk
痿: wwbn
瘐: yuby
瘀: yubd
瘅: djbl
瘌: labd
瘗: yibt
瘊: hzbu
瘥: idbg
瘘: lzbn
瘕: xxby
瘙: scbi
瘛: iibx
瘼: mobd
瘢: bjby
瘠: jibo
癀: hlbb
瘭: bnbx
瘰: lobx
瘿: ykbn
瘵: vdbx
癃: lsbu
瘾: ybbx
瘳: izbp
癍: bjbw
癞: ldbr
癔: yibx
癜: dmby
癖: pibu
癫: dmbr
癯: qubf
翊: yilx
竦: sslu
穸: xibx
穹: qsbg
窀: vybt
窈: ycbl
窕: tnbd
窦: dzbd
窠: kebg
窬: yubd
窨: ybbo
窭: jubn
窳: yubg
衩: iapi
衲: napn
衽: rfpr
衿: jbpv
袂: mwpg
袢: pjpb
裆: dhpe
袷: qxpk
袼: gepk
裉: kfpg
裢: lmpz
裎: igpw
裣: lmpa
裥: jmpo
裱: bnpy
褚: vupo
裼: xipw
裨: pipu
裾: jupk
裰: dopy
褡: dapk
褙: bwpo
褓: bcpm
褛: lvpn
褊: bmpc
褴: ljpm
褫: iipj
褶: vepb
襁: qlpi
襦: rupe
襻: pjpu
胥: xuvo
皲: jyby
皴: cysy
矜: qbsv
耒: lwan
耔: zilz
耖: iclu
耜: silk
耠: holk
耢: lcll
耥: thlk
耦: ouly
耧: lzln
耩: jllr
耨: nzlc
耱: molu
耋: dplt
耵: dked
聃: djer
聆: lkes
聍: nked
聒: goek
聩: kver
聱: aofe
覃: tjxu
顸: hjgr
颀: qijr
颃: hhwr
颉: xpur
颌: herr
颍: ykbr
颏: kewr
颔: hjrr
颚: eekr
颛: vrer
颞: nper
颟: mjcr
颡: shyr
颢: hcor
颥: ruyr
颦: pbvu
虔: qmhw
虬: qqiv
虮: jiij
虿: idwi
虺: hvwi
虼: geiq
虻: mgiw
蚨: fuif
蚍: piib
蚋: rvin
蚬: xmie
蚝: hcim
蚧: jpil
蚣: vsis
蚪: dziu
蚓: ybil
蚩: iivi
蚶: hjig
蛄: guik
蛎: liiw
蚰: yziy
蚺: rjir
蚱: vaiv
蚯: qqiq
蛉: lkis
蛏: igit
蚴: yzil
蛩: qsgi
蛱: jxij
蛲: nciw
蛭: viit
蛳: siij
蛐: quiq
蜓: tkiz
蛞: koik
蛴: qiil
蛟: jnix
蛘: yhiy
蛑: mzin
蜃: ufii
蜇: vefi
蛸: xnio
蜈: wuit
蜊: liid
蜍: iuih
蜉: fuiz
蜣: qliv
蜻: qkio
蜞: qiib
蜥: xiij
蜮: yuia
蜚: fwfi
蜾: goig
蝈: goiy
蜴: yiiw
蜱: piiu
蜩: tnik
蜷: qriv
蜿: wjiv
螂: lhie
蜢: mgim
蝽: iyio
蝾: rsim
蝻: njig
蝠: fuit
蝰: kvit
蝌: keiu
蝮: fuiw
螋: sziy
蝓: yuid
蝣: yziz
蝼: lzin
蝤: qqiy
蝙: bmic
蝥: mcsi
螓: qbih
螯: aofi
螨: mjil
蟒: mhic
蟆: maid
螈: yrix
螅: xiix
螭: iiid
螗: thik
螃: phif
螫: uiti
蟥: hlib
螬: ccio
螵: pnix
螳: thit
蟋: xiix
螽: vswi
蟑: vhiu
蟀: ukiu
蟊: mcsi
蟛: pgip
蟪: hvix
蟠: pjit
蟮: ujik
蠖: hoiy
蠓: mgin
蟾: ijik
蠊: lmin
蠡: livi
蠹: duai
蠼: quiy
缶: fzwk
罂: ykkf
罄: qkuf
罅: xxfh
舐: uiqu
竺: vuve
竽: yuvy
笈: jivj
笃: duvm
笄: jivk
笕: jmve
笊: vcvv
笫: zivp
笏: huvw
筇: qsve
笸: povk
笪: davd
笙: ugvu
笮: zevv
笱: gzvk
笠: livl
笥: sivk
笤: tnvk
笳: jxvk
笾: bmvz
笞: iivk
筘: kzvk
筚: bivu
筅: xmve
筵: yjvz
筌: qrvw
筝: vgvl
筠: yyvd
筮: uivr
筻: ghvg
筢: pavb
筲: ucvo
筱: xnvw
箐: qkvo
箦: zevr
箧: qpvj
箸: vuvo
箬: rovk
箨: tovl
箅: bivl
箪: djvl
箜: ksvg
箢: yrvv
箫: xnvs
箴: vfvk
篑: kvvr
篁: hlvw
篌: hzvu
篝: gzvr
篚: fwvf
篥: livm
篦: bivb
篪: iivj
簌: suvr
篾: mpvu
篼: dzve
簏: luvb
簖: drvj
簋: gvvm
簟: dmvu
簪: zjvo
簸: bovy
籁: ldvr
籀: vzvt
臾: yupn
舁: yujc
舂: isfj
舄: xijh
臬: npzm
衄: nvxi
舢: ujve
舣: yivy
舭: bivb
舯: vsvv
舫: fhvf
舸: gevk
舻: luvu
舳: vuvy
舴: zevv
舾: xivx
艄: ucvo
艉: wwvm
艋: mgvm
艏: uzvz
艚: ccvo
艟: isvl
艨: mgvu
衾: qbry
袅: nnpy
袈: jxly
裘: qqqy
裟: uady
襞: biuy
羝: diyd
羟: qlyg
羧: soyw
羯: jpyv
羰: thyh
羲: xiyd
籼: xmme
敉: mimw
粑: bamb
粝: limw
粜: tnim
粞: ximx
粢: cidm
粲: cjlm
粼: lbmv
粽: zsmx
糁: ufmp
糇: hzmu
糌: zjmo
糍: cimy
糈: xumo
糅: rzmm
糗: qqmq
糨: jlmi
艮: gfvn
暨: jigd
羿: yixc
翎: lkrx
翕: xirx
翥: vulx
翡: fwfx
翦: jmbx
翩: pmhx
翮: heax
翳: yikx
絷: vifx
綦: qiqx
綮: qkhx
繇: yzpx
纛: dcfx
麸: fuff
赳: jqtl
趄: jutq
趔: lptd
趑: zitr
趱: zjtr
赧: njty
赭: veto
豇: jlag
豉: iiay
酊: dkyd
酐: gjyg
酎: vzyc
酏: yiyy
酤: guyk
酢: zoyv
酡: toyb
酰: xmye
酩: mkyk
酯: viyo
酽: yjyy
酾: uiyl
酲: igyw
酴: tuyh
酹: lwyc
醌: kyyb
醅: pwyk
醐: huyo
醍: tiyr
醑: xuyo
醢: hdym
醪: lcyp
醭: buyn
醮: jnyh
醯: xiym
醵: juyu
醴: liya
醺: xyyh
豕: uian
鹾: colg
趸: dywr
踅: xtfr
蹙: cuwr
蹩: bpdr
趵: bczu
趿: tazj
趼: jmzk
趺: fuzf
跄: qlzv
跖: vizu
跗: fuzc
跚: ujzc
跞: lozl
跎: tozb
跏: jxzk
跛: bozy
跆: tdzk
跬: kvzt
跷: qnzw
跸: bizu
跣: xmze
跹: xmzz
跻: jizl
跤: jnzx
踉: llzl
跽: jizx
踔: iozu
踝: hkzg
踟: iizk
踬: vizr
踮: dmzk
踣: bozk
踯: vize
踺: jmzz
蹀: dpzm
踹: ikze
踵: vszv
踽: juzy
踱: dozy
蹉: cozg
蹁: pmzc
蹂: rzzm
蹑: npzy
蹒: pjzl
蹊: qizd
蹰: iuzc
蹶: jtzr
蹼: puzn
蹯: fjzt
蹴: cuzy
躅: vuzi
躏: lbzf
躔: ijzt
躐: lpzv
躜: zrzr
躞: xpzy
豸: vipp
貂: dnvk
貊: movb
貅: xqvm
貘: movd
貔: pivb
斛: hudu
觖: jtdg
觞: uhdp
觚: gudg
觜: zvvy
觥: gsdw
觫: sudu
觯: vidl
訾: zivk
靓: llfe
雩: yuyk
雳: liyl
雯: wfyw
霆: tkyz
霁: jiyl
霈: pwyl
霏: fwyf
霎: uayn
霪: ybyr
霭: aiyv
霰: xmyw
霾: mdyl
龀: ifvb
龃: juvq
龅: bcvs
龆: tnvk
龇: zivb
龈: ybvg
龉: yuvk
龊: iovr
龌: wovt
黾: mmkd
鼋: yred
鼍: tokd
隹: vvrf
隼: syru
隽: jyrn
雎: juqf
雒: lowf
瞿: quof
雠: izrf
銎: qsgj
銮: lrwj
鋈: wudj
錾: zjij
鍪: mzsj
鏊: aofj
鎏: lqdj
鐾: bwuj
鑫: xbjj
鱿: yzay
鲂: fhaf
鲅: baad
鲆: pkap
鲇: nmak
鲈: luau
稣: suah
鲋: fuac
鲎: hzxa
鲐: tdak
鲑: xpat
鲒: jpak
鲔: wwao
鲕: erae
鲚: jial
鲛: jnax
鲞: xlja
鲟: xyac
鲠: ggag
鲡: lial
鲢: lmaz
鲣: jmat
鲥: uiac
鲦: tnam
鲧: gyax
鲨: uada
鲩: hrae
鲫: jiae
鲭: qkao
鲮: lkaw
鲰: zzay
鲱: fwaf
鲲: kyab
鲳: ihao
鲴: guak
鲵: niae
鲶: nmax
鲷: dnak
鲺: uiai
鲻: ziat
鲼: ffar
鲽: dpam
鳄: eeak
鳅: qqah
鳇: hlaw
鳊: bmac
鳌: aofa
鳍: qiao
鳎: taax
鳏: grad
鳐: ycaf
鳓: leal
鳔: bnax
鳕: xtae
鳗: mjay
鳘: mbpa
鳙: ysal
鳜: jtar
鳝: ujak
鳟: zyac
鳢: liaa
靼: dagd
鞅: yhgy
鞑: dagz
鞒: qngl
鞔: mjgv
鞯: jmgz
鞫: jugk
鞣: rzgm
鞲: gzgr
鞴: bwgy
骱: jpgl
骰: tzgy
骷: kugk
鹘: hugn
骶: digd
骺: hzgk
骼: gegk
髁: kegg
髀: bigu
髅: lzgn
髂: qxgk
髋: krge
髌: bbgb
髑: dugi
魅: mwgw
魃: bagd
魇: yjig
魉: llgl
魈: xngo
魍: whgw
魑: iigd
飨: xlxl
餍: yjil
餮: tpdl
饕: tckl
饔: yswl
髡: kyaw
髦: mcam
髯: rjar
髫: tnak
髻: jiak
髭: ziab
髹: xqam
鬈: qrav
鬏: jqah
鬓: bbab
鬟: hray
鬣: lpav
麽: mogm
麾: hvgm
縻: migx
麂: jigj
麇: jygh
麈: vugv
麋: migm
麒: qigb
鏖: aogj
麝: uegc
麟: lbgl
黛: ddrh
黜: iuhi
黝: yzhl
黠: xxhk
黟: yihx
黢: quhw
黩: duhd
黧: lihh
黥: qkhx
黪: cjhp
黯: anho
鼢: ffjd
鼬: yzjy
鼯: wujk
鼹: yjjn
鼷: xijd
鼽: qqzj
鼾: hjzg

